,人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
6779,1095,坂口 安吾,42899,魔の退屈,新字旧仮名,,tatsuki,深津辰男・美智子,公開,2009-07-11,坂口安吾全集　04,筑摩書房,1998（平成10）年5月22日初版第1刷,1998（平成10）年5月22日初版第1刷　
6811,1095,坂口 安吾,56818,文字と速力と文学,新字新仮名,,Nana ohbe,酒井裕二,公開,2016-02-12,堕落論・日本文化私観　他二十二篇,岩波文庫、岩波書店,2013（平成25）年4月5日第6刷,2014（平成26）年11月14日第7刷
6825,1095,坂口 安吾,45749,予告殺人事件,新字新仮名,,高田農業高校生産技術科流通経済コース,小林繁雄,公開,2006-10-19,坂口安吾選集　第十巻エッセイ1,講談社,1982（昭和57）年8月12日第1刷,1982（昭和57）年8月12日第1刷
6828,1095,坂口 安吾,56819,余はベンメイす,新字新仮名,,Nana ohbe,酒井裕二,公開,2016-02-17,堕落論・日本文化私観　他二十二篇,岩波文庫、岩波書店,2013（平成25）年4月5日第6刷,2014（平成26）年11月14日第7刷
6838,1095,坂口 安吾,56807,流浪の追憶,新字新仮名,,Nana ohbe,酒井裕二,公開,2015-07-20,風と光と二十の私と・いずこへ　他十六篇,岩波文庫、岩波書店,2013（平成25）年1月25日第3刷,2013（平成25）年1月25日第3刷
7334,1248,佐藤 垢石,46519,たぬき汁,新字旧仮名,,門田裕志,仙酔ゑびす,公開,2007-01-01,日本の名随筆59　菜,作品社,1997（平成9）年5月20日第8刷,
7366,1248,佐藤 垢石,46520,水垢を凝視す,新字新仮名,,門田裕志,Juki,公開,2007-01-04,日本の名随筆4　釣,作品社,1998（平成10）年1月30日第26刷,1989（平成元）年10月31日第15刷
7547,1189,ジェファーソン トマス,45257,アメリカ独立宣言,新字旧仮名,福沢 諭吉,京都大学電子テクスト研究会入力班,京都大学電子テクスト研究会校正班,公開,2005-07-04,翻訳の思想　日本近代思想大系15,岩波書店,1991（平成3）年9月30日第1刷,
7582,8,島木 健作,47383,癩,旧字旧仮名,,Nana ohbe,林幸雄,公開,2010-04-25,島木健作作品集　第四卷,創元社,1953（昭和28）年9月15日初版,1953（昭和28）年9月15日初版　
7792,1157,神西 清,47034,雪の宿り,新字旧仮名,,小林繁雄,小林繁雄、門田裕志,公開,2008-01-01,日本幻想文学集成19　神西清,国書刊行会,1993（平成5）年5月20日初版第1刷,1993（平成5）年5月20日初版第1刷
8024,1213,瀬沼 夏葉,50220,六号室,新字新仮名,瀬沼 夏葉,阿部哲也,米田,公開,2011-03-02,明治文學全集　82　明治女流文學集（二）,筑摩書房,1989（平成元）年2月20日初版第5刷,1984（昭和59）年2月20日初版第4刷
8254,1675,竹内 浩三,54820,雲,新字新仮名,,坂本真一,雪森,公開,2014-08-08,竹内浩三全作品集　日本が見えない　全1巻,藤原書店,2002（平成14）年8月30日初版第5刷,2001（平成13）年11月30日初版第1刷
8344,35,太宰 治,46597,青森,新字新仮名,,蒋龍,土屋隆,公開,2006-12-28,もの思う葦,新潮文庫、新潮社,1998（平成10）年10月15日39刷,2002（平成14）年5月30日42刷改版
8376,35,太宰 治,307,お伽草紙,新字旧仮名,,八巻美恵,高橋じゅんや,公開,2000-01-13,太宰治全集第七巻,筑摩書房,1990（平成2）年6月27日初版第1刷,
8402,35,太宰 治,259,逆行,旧字旧仮名,,赤木孝之,湯地光弘,公開,1999-06-29,太宰治全集2,筑摩書房,1998（平成10）年5月25日初版第1刷,
8424,35,太宰 治,45688,五所川原,新字新仮名,,増山一光,土屋隆,公開,2006-03-15,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1989（平成元）年6月27日第1刷
8438,35,太宰 治,2263,猿面冠者,新字新仮名,,村田拓哉,青木直子,公開,1999-12-17,晩年,新潮文庫、新潮社,1999（平成11）年6月25日第105刷,
8445,35,太宰 治,52682,私信,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-29,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8447,35,太宰 治,52462,自信の無さ,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-29,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8456,35,太宰 治,46599,純真,新字新仮名,,蒋龍,土屋隆,公開,2006-12-28,もの思う葦,新潮文庫、新潮社,1998（平成10）年10月15日39刷,2002（平成14）年5月30日42刷改版
8458,35,太宰 治,52374,春昼,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-29,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8483,35,太宰 治,45676,世界的,新字新仮名,,増山一光,土屋隆,公開,2006-02-18,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1989（平成元）年6月27日第1刷
8493,35,太宰 治,1575,ダス・ゲマイネ,旧字旧仮名,,土屋隆,増山一光,公開,2007-01-29,太宰治全集2,筑摩書房,1998（平成10）年5月25日初版第1刷,　
8559,35,太宰 治,268,火の鳥,新字新仮名,,柴田卓治,高橋美奈子,公開,2000-01-26,太宰治全集2,ちくま文庫、筑摩書房,1988（昭和63）年9月27日第1刷,1998（平成10）年4月1日第2刷
8573,35,太宰 治,52523,砂子屋,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-12,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8579,35,太宰 治,52464,無趣味,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-05,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8581,35,太宰 治,52686,無題,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-05,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8594,35,太宰 治,52526,容貌,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-05,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8596,35,太宰 治,52687,横綱,旧字旧仮名,,小林繁雄,阿部哲也,公開,2011-12-05,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8603,35,太宰 治,312,列車,新字新仮名,,村田拓哉,青木直子,公開,1999-12-17,晩年,新潮文庫、新潮社,1972（昭和47）年8月30日43刷,1999（平成11）年6月25日105刷
8605,35,太宰 治,45668,六月十九日,新字新仮名,,増山一光,土屋隆,公開,2005-12-15,太宰治全集10,ちくま文庫、筑摩書房,1998（平成10）年6月15日第4刷,1989（平成元）年6月27日第1刷
8612,35,太宰 治,52292,私の著作集,旧字旧仮名,,増山一光,阿部哲也,公開,2011-12-08,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
8665,154,田中 貢太郎,47990,青い紐,新字旧仮名,,川山隆,門田裕志,公開,2009-09-10,伝奇ノ匣6　田中貢太郎日本怪談事典,学研Ｍ文庫、学習研究社,2003（平成15）年10月22日初版,2003（平成15）年10月22日初版
8717,154,田中 貢太郎,47994,牡蠣船,新字旧仮名,,川山隆,門田裕志,公開,2009-09-13,伝奇ノ匣6　田中貢太郎日本怪談事典,学研Ｍ文庫、学習研究社,2003（平成15）年10月22日初版,2003（平成15）年10月22日初版
8724,154,田中 貢太郎,47996,蟇の血,新字旧仮名,,川山隆,門田裕志,公開,2009-09-13,伝奇ノ匣6　田中貢太郎日本怪談事典,学研Ｍ文庫、学習研究社,2003（平成15）年10月22日初版,2003（平成15）年10月22日初版
8787,154,田中 貢太郎,53861,水郷異聞,新字新仮名,,川山隆,門田裕志,公開,2012-07-10,日本怪談大全　第二巻　幽霊の館,国書刊行会,1995（平成7）年8月2日初版第1刷,1995（平成7）年8月2日初版第1刷
